month,state,permit,handgun,long_gun,other,multiple,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,totals
2017-02,Mariana Islands,0.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-02,Nevada,2158.0,5644.0,2732.0,301.0,308.0,0.0,0.0,0.0,6.075346031088684,186.0,1.0,0.0,0.0,11765.0
2017-02,New Jersey,0.0,5904.0,3481.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9601.0
2017-02,Oregon,972.0,16425.0,11726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196,2.6390573296152584,29183.0
2017-02,Puerto Rico,0.0,1000.0,205.8,30.0,24.0,1.0,0.0,0.0,1.6094379124341003,2.0,0.0,0.0,0.0,1424.8000000000002
2017-02,Virgin Islands,72.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-02,Virginia,838.0,28434.0,16587.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,47038.0
2017-01,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.173786103901937,381.0,7.0,0.0,0.0,88253.00000000001
2017-01,Connecticut,6706.0,6133.0,2115.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15073.0
2017-01,District of Columbia,6.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-01,Guam,0.0,125.20000000000005,205.8,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-01,Hawaii,864.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,1424.8000000000002
2017-01,Mariana Islands,0.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-01,Nevada,2518.0,4235.0,2361.0,279.0,226.0,0.0,0.0,0.0,5.634789603169249,114.0,0.0,0.0,0.0,10013.0
2017-01,New Jersey,0.0,5719.0,3355.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9274.0
2017-01,Oregon,1097.0,12071.0,8985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6375861597263857,2.9444389791664403,22210.0
2017-01,Puerto Rico,0.0,1072.0,205.8,50.0,20.0,2.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,1424.8000000000002
2017-01,Rhode Island,0.0,1196.0,687.0,78.0,160.0,0.0,0.0,0.0,1.6094379124341003,3.0,1.0,1.6094379124341003,0.6931471805599453,2147.0
2017-01,Vermont,0.0,1338.0,1214.0,74.0,60.0,0.0,0.0,0.0,0.6931471805599453,3.0,0.0,0.0,0.0,2691.0
2017-01,Virgin Islands,61.0,125.20000000000005,205.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-01,Virginia,846.0,21375.0,14319.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,0.6931471805599453,37369.0
2017-01,West Virginia,2063.0,5837.0,4995.0,272.0,344.0,12.0,12.100000000000023,0.0,6.928537818164665,1196.0,2.0,1.9459101490553132,0.6931471805599453,15772.0
2016-12,Alaska,254.0,4087.0,3698.0,243.0,191.0,3.0,1.0,0.0,5.187385805840755,105.0,2.0,2.70805020110221,2.0794415416798357,8786.0
2016-12,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.46302945692067,831.0,10.0,0.0,0.0,88253.00000000001
2016-12,Colorado,5333.0,25905.0,17932.8,1428.0,973.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.891100725401066,3.367295829986474,55428.0
2016-12,District of Columbia,4.0,125.20000000000005,205.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-12,Guam,0.0,125.20000000000005,205.8,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-12,Hawaii,1139.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,1424.8000000000002
2016-12,Kansas,1368.0,8494.0,10473.0,450.0,415.0,3.0,2.0,0.0,6.484635235635252,398.0,10.0,1.9459101490553132,1.0986122886681098,22282.0
2016-12,Kentucky,26413.7,17311.0,16766.0,371.0,673.0,12.0,8.0,1.0,7.417039715729299,1467.6000000000001,6.0,1.0986122886681098,0.6931471805599453,88253.00000000001
2016-12,Maine,442.0,4641.0,4713.0,322.0,187.0,0.0,0.0,0.0,4.454347296253507,121.0,0.0,2.3978952727983707,1.3862943611198906,10528.0
2016-12,Mariana Islands,0.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-12,Minnesota,26413.7,12431.0,12851.0,930.0,426.0,0.0,1.0,0.0,5.351858133476067,337.0,7.0,2.70805020110221,1.6094379124341003,60056.0
2016-12,Mississippi,1771.0,13168.0,17231.0,366.0,529.0,12.0,12.100000000000023,0.0,7.312553498102598,1467.6000000000001,4.0,0.0,0.0,36091.0
2016-12,Nevada,2216.0,6783.0,4696.0,313.0,411.0,0.0,0.0,0.0,5.762051382780177,151.0,0.0,0.0,0.0,14889.0
2016-12,New Jersey,0.0,5394.0,4979.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10577.0
2016-12,New Mexico,1079.0,7484.0,7149.0,467.0,331.0,2.0,2.0,0.0,6.137727054086234,503.0,1.0,3.6109179126442243,0.0,17518.0
2016-12,North Dakota,1189.0,1799.0,2927.0,108.0,81.0,0.0,1.0,0.0,3.9318256327243257,102.0,3.0,0.0,0.0,6261.0
2016-12,Puerto Rico,0.0,1334.0,256.0,37.0,28.0,0.0,0.0,0.0,1.6094379124341003,3.0,1.0,0.0,0.0,1664.0
2016-12,South Dakota,1238.0,3525.0,5131.0,299.0,220.0,0.0,0.0,0.0,4.941642422609304,186.0,0.0,0.0,0.0,10739.0
2016-12,Texas,24494.0,28476.000000000004,17932.8,1508.4000000000003,973.4000000000001,12.0,12.100000000000023,1.0,7.417039715729299,1467.6000000000001,10.0,3.9889840465642745,0.6931471805599453,88253.00000000001
2016-12,Vermont,0.0,1802.0,1998.0,99.0,74.0,0.0,0.0,0.0,1.0986122886681098,1.0,0.0,0.0,0.0,3977.0
2016-12,Virgin Islands,47.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-12,Virginia,1145.0,28476.000000000004,17932.8,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,62649.0
2016-12,Wisconsin,24129.0,16521.0,15036.0,818.0,37.0,0.0,0.0,1.0,4.859812404361672,214.0,2.0,3.1354942159291497,2.70805020110221,56928.0
2016-11,Alaska,254.0,3396.0,4019.0,316.0,249.0,1.0,3.0,0.0,4.836281906951478,125.0,1.0,2.9444389791664403,1.6094379124341003,8514.0
2016-11,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.253828811575473,609.0,10.0,0.0,0.0,88253.00000000001
2016-11,Colorado,7129.0,24052.0,17932.8,1508.4000000000003,973.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.891100725401066,3.367295829986474,54418.0
2016-11,Connecticut,6766.0,7063.0,3258.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17223.0
2016-11,Delaware,261.0,2490.0,2751.0,124.0,106.0,1.0,2.0,0.0,3.258096538021482,23.0,7.0,0.0,0.0,5791.0
2016-11,District of Columbia,1.0,125.20000000000005,205.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-11,Florida,25377.0,28476.000000000004,17932.8,1508.4000000000003,973.4000000000001,11.0,5.0,0.0,7.417039715729299,1428.0,7.0,4.891100725401066,3.367295829986474,88253.00000000001
2016-11,Georgia,19019.0,18011.0,16759.0,556.0,803.0,7.0,12.100000000000023,0.0,7.417039715729299,1467.6000000000001,8.0,0.0,0.0,58723.0
2016-11,Guam,0.0,125.20000000000005,205.8,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-11,Hawaii,1347.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-11,Kentucky,26413.7,12847.0,14844.0,329.0,640.0,9.0,9.0,0.0,7.417039715729299,1467.6000000000001,7.0,1.6094379124341003,1.0986122886681098,88253.00000000001
2016-11,Maine,533.0,4135.0,5097.0,283.0,196.0,1.0,2.0,0.0,4.382026634673881,156.0,4.0,2.1972245773362196,2.1972245773362196,10506.0
2016-11,Mariana Islands,0.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-11,Minnesota,26413.7,12338.0,15597.0,907.0,444.0,2.0,0.0,0.0,5.407171771460119,440.0,10.0,2.8903717578961645,2.1972245773362196,62666.0
2016-11,Mississippi,2052.0,9382.0,13481.0,356.0,528.0,12.0,12.100000000000023,0.0,7.220373836723949,1467.6000000000001,10.0,0.0,0.0,29113.0
2016-11,Missouri,1504.0,23719.0,17932.8,1473.0,973.4000000000001,3.0,10.0,1.0,7.1098794630722715,1467.6000000000001,10.0,4.605170185988092,1.9459101490553132,57501.0
2016-11,Nevada,2595.0,6338.0,4291.0,352.0,436.0,0.0,0.0,0.0,5.762051382780177,146.0,0.0,0.0,0.0,14476.0
